subtitle,author,url,text,section,title,date
None,Sem autor,https://www.oantagonista.com/brasil/gleisi-no-pulpito/,"O PT tenta fazer as pazes com os evangélicos.O partido realiza hoje e amanhã, em São Paulo, o 1º Encontro de Evangélicos.A Folha de S. Paulo registra que Gleisi Hoffmann, Benedita da Silva e João Pedro Stédile vão discursar.",Brasil,Gleisi no púlpito,05/04/2019 10:38:04
None,Sem autor,https://www.oantagonista.com/economia/salario-minimo-sem-aumento-real-2/,"Jair Bolsonaro quer que o salário mínimo seja corrigido apenas pela inflação, sem aumento real.O Globo diz que, segundo estimativas da equipe econômica, “o impacto positivo no próximo ano pode chegar a 7,6 bilhões de reais”. ",Economia,Salário mínimo sem aumento real,05/04/2019 09:45:44
None,Sem autor,https://www.oantagonista.com/brasil/exercito-robotizado/,"Um levantamento da NetLab, feito a pedido da Veja, concluiu que, “dos vinte campeões de postagens pró-Bolsonaro no Twitter, seis eram claramente robôs e outros nove apresentavam movimentação altamente suspeita.O exército robotizado faz as postagens de Bolsonaro chegar a um público maior do que os seus 26,9 milhões de seguidores nas redes sociais”.",Brasil,Exército robotizado,05/04/2019 09:39:07
None,Sem autor,https://www.oantagonista.com/brasil/quem-pode-soltar-lula/,"Quem pode soltar Lula?A  conta que a rádio-corredor dos ministros do STJ registra que é grande a pressão sobre os ombros do ministro Reynaldo Soares da Fonseca, um dos cinco integrantes da turma que julgará o recurso que pode tirar Lula da cadeia.Leia a nota completa .",Brasil,Quem pode soltar Lula?,05/04/2019 09:53:27
None,Sem autor,https://www.oantagonista.com/economia/reforma-reforma-e-reforma/,"No evento do Lide de João Doria em Campos de Jordão, só se fala na reforma da Previdência.Nos bastidores, empresários temem o tamanho da desidratação da proposta pelo Congresso e comentam o que consideram “erros de condução” na articulação política.Os ministros Paulo Guedes, Ricardo Vélez e Ricardo Salles participam hoje da programação. Rodrigo Maia e Davi Alcolumbre, além de cinco governadores, também vão estar presentes ao longo do evento.",Economia,"Reforma, reforma e reforma",05/04/2019 10:06:23
None,Sem autor,https://www.oantagonista.com/brasil/a-farra-do-boi/,"A PF grampeou Joesley Batista no dia do triunfo eleitoral de Dilma Rousseff, em 2014.A  obteve esses grampos inéditos.Joesley Batista e Ricardo Saud comemoram o resultado com Michel Temer, Fernando Pimentel, Eduardo Cunha, Henrique Meirelles e com o assessor de Edinho Silva.A reportagem da , com os áudios dos protagonistas, revelam a promiscuidade da JBS com o poder.Leia – e escute – . ",Brasil,A farra do boi,05/04/2019 08:33:04
None,Sem autor,https://www.oantagonista.com/brasil/o-aprendiz-3/,João Doria disse para o Valor que o PSDB não será mais um “depósito de derrotados” nem de “desempregados”.Ele rejeitou também a proposta de “rodízio” no comando do partido e avisou que “quem tem voto” mandará na sigla.,Brasil,O Aprendiz,05/04/2019 08:55:36
None,Sem autor,https://www.oantagonista.com/brasil/kajuru-se-eu-visse-gilmar-sairia-voando/,"Jorge Kajuru foi perguntado pela Veja se o governo atuou contra a CPI da Lava Toga.Ele respondeu:“Parte dele foi contra. Fui ao gabinete de Flávio Bolsonaro há quatro semanas e ele perguntou: ‘Kajuru, você quer criar uma crise?’. Outro senador me disse que não apoia a CPI porque receber Gilmar Mendes toda semana para jantar. Até me convidou, mas respondi: ‘Pássaros e porcos não se sentam à mesma mesa. Se eu visse Gilmar, sairia voando’”.A esse propósito,  do senador Alessandro Vieira na .",Brasil,"Kajuru: “Se eu visse Gilmar, sairia voando”",05/04/2019 10:11:35
None,Renan Ramalho,https://www.oantagonista.com/brasil/relator-pacote-anticrime-no-senado-quer-aprovar-ate-maio-prisao-em-2a-instancia/,"Relator do maior parte do pacote anticrime no Senado, Marcos do Val (PPS-ES) disse a  que planeja aprovar até maio a prisão em segunda instância, da qual disse não abrir mão.Se na Câmara, mesmo os deputados aliados do governo já admitem deixar a medida pelo caminho para salvar o restante do pacote, Marcos do Val considera que ela é essencial.“Se não for aprovada a prisão em segunda instância, não vai adiantar aumentar as penalidades se os condenados vão continuar soltos até prescrever”, resumiu o senador, estreante no Parlamento.Ele vê clima mais favorável entre os senadores para aprovar a proposta que entre deputados. E diz que o adiamento da decisão sobre a questão no STF não interfere nos planos de aprovação.“O que está acontecendo na nossa Casa é que os senadores não estão admitindo STF e STJ legislando”, afirmou.",Brasil,Relator do pacote anticrime no Senado quer aprovar até maio prisão em 2ª instância,05/04/2019 10:00:27
None,Sem autor,https://www.oantagonista.com/brasil/tv-olavete/,"Os olavetes demitidos do MEC arrumaram uma boquinha na TV Escola.“O canal de comunicação financiado pelo MEC é gerido pela Associação de Comunicação Educativa Roquette Pinto, organização social que recebeu 92,6 milhões de reais dos cofres públicos federais no ano passado”, diz O Globo.Os olavetes são Tiago Tondinelli, Eduardo Freire de Melo e Rodrigo de Almeida Morais.",Brasil,TV Olavete,05/04/2019 08:44:10
None,Renan Ramalho,https://www.oantagonista.com/brasil/agu-quer-recuperar-r-25-bilhoes-desviados-nos-proximos-2-anos/,"A Advocacia-Geral da União tem como meta recuperar R$ 25 bilhões nos próximos 2 anos em acordos de leniência com empresas investigadas por corrupção.“Nós temos que ser ambiciosos”, disse hoje o chefe do órgão, André Mendonça, ao anunciar a meta, durante café com jornalistas.",Brasil,AGU quer recuperar R$ 25 bilhões desviados nos próximos 2 anos,05/04/2019 10:18:49
None,Sem autor,https://www.oantagonista.com/brasil/bolsonaro-confirma-troca-de-comando-na-secom/,"Jair Bolsonaro, no café da manhã com jornalistas, confirmou que o publicitário Fábio Wajngarten vai assumir o comando da Secretaria de Comunicação na próxima segunda-feira.“Na Secom, vai ser o Fábio, do meio de vocês. Conheci há dois anos na comunidade israelita. Muitas vezes recorri a ele com dúvidas.”“Tem que melhorar e espero melhorar com o Fábio a partir de segunda”, acrescentou.",Brasil,Bolsonaro confirma troca de comando na Secom,05/04/2019 10:49:56
